Code;Libelle
7231;REMB STATION JUILLET+AOUT+SEPTEMBRE
7231;REMB STATION DEC-JANV-FEV-MARS
7231;REMB STATION JANV A JUIN
7231;REMB STATION JUILLET A DECEMBRE
7231;REMB.STATION. AVRIL-MAI-JUIN
7231;REMB STATION FEVRIER-MARS-AVRIL
7231;REMB STATIONNEMENT FEV A AVRIL
7231;REMB STATION OCT-NOV-DEC 12
7231;REMB STATIONNEMENT MAI
7231;REMB STATION OCT-DEC
7231;REMB. JUILLET-AOUT
7231;REMB. FRAIS STATIONNEMENT JUILLET AOUT
7231;REMB STATION AVRIL A AOUT
7231;REMB STATION DEC 12
7232;FRAIS TRANSPORT UPC BAINS
7233;FRAIS TRANSP JOUR UPC BAINS
7600;ALLOC. ENFANTS HANDICAP.
7650;IND.CHAUSSURES EQUIPEM.
7650;IJ DU 13 02 AU 24 04 12
7650;IJ DU 16 01 AU 27 01 12
7722;IJ VERSEES PAR LA CPAM
8010;1% SOLIDARITE
8011;COTIS. 1% SOLIDARITE  NTIT
8015;1% SOLIDARITE                    NON AFF
8020;COTIS. OUV. POLE EMPLOI
804B;M.N.T. T.I. INVAL 1.60 %
804B;M.N.T. T.I. INVAL 0.85 %
804B;M.N.T. T.I. INVAL 1.60 % 2 MOIS
804B;M.N.T. T.I. INVAL 1.08 %
804C;M.N.T. T.I. INVAL 2.03 %
804C;M.N.T. T.I. INVAL 1.68 %
804C;M.N.T. T.I. INVAL 0.89 %
804C;M.N.T. T.I. INVAL MAI 13
804C;M.N.T. T.I. INVAL 1.12 %
804I;M.N.T. R.I. INVAL 1.60 %
804I;M.N.T. R.I. INVAL 0.85 %
804I;M.N.T. R.I. INVAL 1.60 % 2 MOIS
804I;M.N.T. R.I. INVAL 1.08 %
804N;MNT INVAL TOT 0.34
804P;DED PART MUT EMPLOYEUR
8050;MUTUELLE M.N.T.          MS
8051;MUTUELLE EOVI M.S
8053;MNT TROP PERCU MAINT. SAL.
8053;REGUL MNT
8053;MPCL REGUL
8059;MUTUELLE M.N.T. INV. OPTION1 BIS
805A;MUTUELLE M.P.C.L                 MS
805B;MUTUELLE INVALIDITE M.N.T.
805C;COT SALARIALE CAS
805H;COTISATION MNT DECES
805I;COTSATION MUTUELLE MNT PRIMES
805I;COTISATION MUTUELLE MNT PRIMES
805N;MUTUELLE MNT INV. TOT.
805P;MNT  INVALIDITE NON TITULAIRE
805Q;M.P.C.L MAINTIEN SALAIRE
805T;MUTUELLE INV. M.N.T. IND.
805U;M.P.C.L MAINTIEN PRIMES 0.41
805U;M.P.C.L MAINTIEN PRIMES
805V;MUTUELLE INV. IND. OPTION 1
805W;MUTUELLE INV. IND. OPTION 2
805X;MNT INVAL. IND. OPTION 3
805Y;MNT. R.I OPTION 1   61 JRS
805Z;COT 0.41 INV. M.N.T PRIMES
806F;MUTUELLE INV. IND. OPT 1
8105;PREFON                           MATRICE
810A;COTISATION PAT INVALIDITE MNT
810C;COTISATIONS PATRONALES INV PRIMES
810P;MNT INVA. NON TITULAIRE PAT
810Z;TAXE SUR PRESTATION PREVOYANCE
810Z;FORFAIT SOCIAL 8%
812A;COTISATION SALARIALE C.A.S.
814B;M.N.T. T.I. INVAL 1.60 %
814B;M.N.T. T.I. INVAL 0.85 %
814I;M.N.T. R.I. INVAL 1.60 %
814I;M.N.T. R.I. INVAL 0.85 %
814N;MNT INVAL TOT 0.34
814P;DED PART MUT EMPLOYEUR
815A;PART MUTUELLE EMPLOYEUR
815B;PART MUTUELLE EMPLOYEUR
815T;MNT INVALIDITE PAT. IND.
820P;DED PART MUT EMPLOYEUR
824P;DED PART MUT EMPLOYEUR
8305;PRET CREDIT MUNICIPAL   LYON
8305;PRET CREDIT MUNICIPAL                 MS
8306;PRET CREATIS
85AB;M.N.T. INV 1.06 %
8600;PLAFONNEMENT FRAIS EMPLOI
860A;BASE DE CALCUL  RAS
8649;BASE RAS
8650;RETENUE A LA SOURCE
8805;BASE CALCUL REDUCTION SUR H.S.
8806;NOMBRE HEURES REDUCTION H.S
8810;RED. COTIS.SALARIALES SUR HSUP        RG
8814;RED. COTIS.SALARIALES SUR HSUP        RM
8824;MT CSG CRDS SUR HS DEDUIT DU NET FISCAL
8850;INDEM. JOURNALIERE SS NETTE
;
